image path,title,year,author,word1,word2,word3,description,Unnamed: 8,Unnamed: 9
img53.jpg,The Lamentation of Christ,1305,Giotto di Bondone,piety,mourning,devotion,"This poignant scene depicts the Virgin Mary and Saint John mourning over the body of Christ after his crucifixion. Giotto's mastery of expression and composition imbues the scene with a sense of profound sorrow and piety.,",,
img18.jpg,The Langlois Bridge,1888,Vincent van Gogh,bridge,river,sea,"Van Gogh paints the Langlois Bridge with energetic brushstrokes, capturing the vibrant atmosphere of the place.",,
img75.jpg,Time Transfixed,1938,René Magritte,surrealism,train,fireplace,"This surreal painting depicts a locomotive emerging from a fireplace in an otherwise ordinary room. The train appears to defy logic and gravity as it emerges from the hearth, creating a sense of mystery and intrigue.",,
img60.jpg,At the Races,1877-1880,Edgar Degas,horse races,spectators,excitement,"This painting captures the excitement and energy of a day at the horse races, with spectators cheering on their favorite horses from the grandstand. Degas's dynamic composition and his skillful rendering of movement make this painting a vibrant celebration of modern life.,",,
img29.jpg,The Kiss,1969,Pablo Picasso,passionate,kiss,couple,"Created late in Picasso's career, this painting features a bold and abstract depiction of a couple engaged in a passionate kiss. It's characterized by its vibrant colors and expressive brushwork, reflecting Picasso's continued innovation and experimentation.,",,
img77.jpg,Yellow-Red-Blue,1925,Wassily Kandinsky,abstract,color,geometry,"This vibrant painting features bold swathes of yellow, red, and blue arranged in dynamic geometric patterns. Kandinsky's use of color and form evokes a sense of movement and energy, inviting viewers to experience the painting on an emotional level.",,
img58.jpg,The Rehearsal of the Ballet Onstage,1874,Edgar Degas,ballet,rehearsal,stage,"In this painting, Degas offers a behind-the-scenes glimpse of a ballet rehearsal, with dancers practicing their steps on stage. Degas's innovative composition and his ability to capture movement make this painting a masterpiece of Impressionist art.,",,
img30.jpg,The Calling of Saint Matthew,1599-1600,Caravaggio,Jesus,calling,Matthew,"This masterpiece depicts the moment when Jesus calls Matthew, a tax collector, to become one of his disciples. The painting is renowned for its dramatic lighting and realistic portrayal of everyday life.,",,
img14.jpg,Sunflowers,1888,Vincent van Gogh,flowers,flowers,nature,"This painting shows a bouquet of sunflowers in a vase, with vibrant colors and bold brushstrokes.",,
img7.jpg,The Cliff Walk at Pourville,1882,Claude Monet,Coastal,Energy,Dynamic,"A rugged coastal scene with towering cliffs overlooking the sea. Waves crash against the rocky shore below, sending sprays of foam into the air. Figures can be seen walking along a path carved into the cliffside, enjoying the bracing sea air and panoramic views.,",,
img4.jpg,Women in the Garden,1866,Claude Monet,Garden,Leisure,Figures,"A lush garden setting with a group of women leisurely strolling or seated amidst blooming flowers and verdant foliage. The figures are dressed in fashionable attire of the period, adding a sense of elegance to the scene.,",,
img24.jpg,Les Noces de Pierrette,1905,Pablo Picasso,Pierrot,wedding,mourning,"This painting depicts a scene from the commedia dell'arte, with Pierrot mourning the death of his beloved Columbine. It's characterized by its somber mood and elongated, stylized figures.,",,
